report_100_0.0001_0.001_0.01.txt:0.8038 	 AUC
report_100_0.0001_0.001_0.1.txt:0.8036 	 AUC
report_100_0.0001_0.001_0.5.txt:0.8036 	 AUC
report_100_0.0001_0.001_1.txt:0.8036 	 AUC
report_100_0.0001_0.001_10.txt:0.8127 	 AUC
report_100_0.0001_0.001_2.txt:0.8095 	 AUC
report_100_0.0001_0.001_5.txt:0.8131 	 AUC
report_100_0.0001_0.01_0.01.txt:0.8035 	 AUC
report_100_0.0001_0.01_0.1.txt:0.8036 	 AUC
report_100_0.0001_0.01_0.5.txt:0.8083 	 AUC
report_100_0.0001_0.01_1.txt:0.8131 	 AUC
report_100_0.0001_0.01_10.txt:0.8192 	 AUC
report_100_0.0001_0.01_2.txt:0.8125 	 AUC
report_100_0.0001_0.01_5.txt:0.8144 	 AUC
report_100_0.0001_0.1_0.01.txt:0.8038 	 AUC
report_100_0.0001_0.1_0.1.txt:0.8037 	 AUC
report_100_0.0001_0.1_0.5.txt:0.8115 	 AUC
report_100_0.0001_0.1_1.txt:0.8146 	 AUC
report_100_0.0001_0.1_10.txt:0.8218 	 AUC
report_100_0.0001_0.1_2.txt:0.8197 	 AUC
report_100_0.0001_0.1_5.txt:0.8211 	 AUC
report_100_0.0001_0.13_0.01.txt:0.8037 	 AUC
report_100_0.0001_0.13_0.1.txt:0.8037 	 AUC
report_100_0.0001_0.13_0.5.txt:0.8128 	 AUC
report_100_0.0001_0.13_1.txt:0.8157 	 AUC
report_100_0.0001_0.13_10.txt:0.8189 	 AUC
report_100_0.0001_0.13_2.txt:0.8181 	 AUC
report_100_0.0001_0.13_5.txt:0.8208 	 AUC
report_100_0.0001_0.25_0.01.txt:0.8038 	 AUC
report_100_0.0001_0.25_0.1.txt:0.8059 	 AUC
report_100_0.0001_0.25_0.5.txt:0.8140 	 AUC
report_100_0.0001_0.25_1.txt:0.8184 	 AUC
report_100_0.0001_0.25_10.txt:0.8243 	 AUC
report_100_0.0001_0.25_2.txt:0.8224 	 AUC
report_100_0.0001_0.25_5.txt:0.8200 	 AUC
report_100_0.0001_0.5_0.01.txt:0.8037 	 AUC
report_100_0.0001_0.5_0.1.txt:0.8096 	 AUC
report_100_0.0001_0.5_0.5.txt:0.8169 	 AUC
report_100_0.0001_0.5_1.txt:0.8217 	 AUC
report_100_0.0001_0.5_10.txt:0.5232 	 AUC
report_100_0.0001_0.5_2.txt:0.8200 	 AUC
report_100_0.0001_0.5_5.txt:0.8198 	 AUC
report_100_0.0001_1_0.01.txt:0.8038 	 AUC
report_100_0.0001_1_0.1.txt:0.8130 	 AUC
report_100_0.0001_1_0.5.txt:0.8200 	 AUC
report_100_0.0001_1_1.txt:0.8222 	 AUC
report_100_0.0001_1_10.txt:0.5327 	 AUC
report_100_0.0001_1_2.txt:0.8262 	 AUC
report_100_0.0001_1_5.txt:0.5285 	 AUC
report_100_0.001_0.001_0.01.txt:0.8036 	 AUC
report_100_0.001_0.001_0.1.txt:0.8036 	 AUC
report_100_0.001_0.001_0.5.txt:0.8089 	 AUC
report_100_0.001_0.001_1.txt:0.8128 	 AUC
report_100_0.001_0.001_10.txt:0.8108 	 AUC
report_100_0.001_0.001_2.txt:0.8127 	 AUC
