report_100_0.0001_0.001_0.01.txt:0.1860 	 F1
report_100_0.0001_0.001_0.1.txt:0.1848 	 F1
report_100_0.0001_0.001_0.5.txt:0.1851 	 F1
report_100_0.0001_0.001_1.txt:0.1851 	 F1
report_100_0.0001_0.001_10.txt:0.1862 	 F1
report_100_0.0001_0.001_2.txt:0.1828 	 F1
report_100_0.0001_0.001_5.txt:0.1869 	 F1
report_100_0.0001_0.01_0.01.txt:0.1851 	 F1
report_100_0.0001_0.01_0.1.txt:0.1850 	 F1
report_100_0.0001_0.01_0.5.txt:0.1852 	 F1
report_100_0.0001_0.01_1.txt:0.1852 	 F1
report_100_0.0001_0.01_10.txt:0.1913 	 F1
report_100_0.0001_0.01_2.txt:0.1864 	 F1
report_100_0.0001_0.01_5.txt:0.1863 	 F1
report_100_0.0001_0.1_0.01.txt:0.1844 	 F1
report_100_0.0001_0.1_0.1.txt:0.1851 	 F1
report_100_0.0001_0.1_0.5.txt:0.1861 	 F1
report_100_0.0001_0.1_1.txt:0.1879 	 F1
report_100_0.0001_0.1_10.txt:0.1889 	 F1
report_100_0.0001_0.1_2.txt:0.1876 	 F1
report_100_0.0001_0.1_5.txt:0.1889 	 F1
report_100_0.0001_0.13_0.01.txt:0.1856 	 F1
report_100_0.0001_0.13_0.1.txt:0.1861 	 F1
report_100_0.0001_0.13_0.5.txt:0.1864 	 F1
report_100_0.0001_0.13_1.txt:0.1883 	 F1
report_100_0.0001_0.13_10.txt:0.1863 	 F1
report_100_0.0001_0.13_2.txt:0.1890 	 F1
report_100_0.0001_0.13_5.txt:0.1881 	 F1
report_100_0.0001_0.25_0.01.txt:0.1859 	 F1
report_100_0.0001_0.25_0.1.txt:0.1856 	 F1
report_100_0.0001_0.25_0.5.txt:0.1869 	 F1
report_100_0.0001_0.25_1.txt:0.1882 	 F1
report_100_0.0001_0.25_10.txt:0.1835 	 F1
report_100_0.0001_0.25_2.txt:0.1901 	 F1
report_100_0.0001_0.25_5.txt:0.1901 	 F1
report_100_0.0001_0.5_0.01.txt:0.1859 	 F1
report_100_0.0001_0.5_0.1.txt:0.1845 	 F1
report_100_0.0001_0.5_0.5.txt:0.1896 	 F1
report_100_0.0001_0.5_1.txt:0.1878 	 F1
report_100_0.0001_0.5_10.txt:0.0303 	 F1
report_100_0.0001_0.5_2.txt:0.1859 	 F1
report_100_0.0001_0.5_5.txt:0.1920 	 F1
report_100_0.0001_1_0.01.txt:0.1862 	 F1
report_100_0.0001_1_0.1.txt:0.1851 	 F1
report_100_0.0001_1_0.5.txt:0.1907 	 F1
report_100_0.0001_1_1.txt:0.1891 	 F1
report_100_0.0001_1_10.txt:0.0275 	 F1
report_100_0.0001_1_2.txt:0.1903 	 F1
report_100_0.0001_1_5.txt:0.0301 	 F1
report_100_0.001_0.001_0.01.txt:0.1847 	 F1
report_100_0.001_0.001_0.1.txt:0.1847 	 F1
report_100_0.001_0.001_0.5.txt:0.1856 	 F1
report_100_0.001_0.001_1.txt:0.1873 	 F1
report_100_0.001_0.001_10.txt:0.1894 	 F1
report_100_0.001_0.001_2.txt:0.1871 	 F1
report_100_0.001_0.001_5.txt:0.1891 	 F1
report_100_0.001_0.01_0.01.txt:0.1847 	 F1
report_100_0.001_0.01_0.1.txt:0.1847 	 F1
report_100_0.001_0.01_0.5.txt:0.1854 	 F1
report_100_0.001_0.01_1.txt:0.1862 	 F1
report_100_0.001_0.01_10.txt:0.1895 	 F1
report_100_0.001_0.01_2.txt:0.1865 	 F1
report_100_0.001_0.01_5.txt:0.1900 	 F1
