report_100_0.0001_0.001_0.01.txt:0.1566 	 Pr
report_100_0.0001_0.001_0.1.txt:0.1537 	 Pr
report_100_0.0001_0.001_0.5.txt:0.1561 	 Pr
report_100_0.0001_0.001_1.txt:0.1562 	 Pr
report_100_0.0001_0.001_10.txt:0.1475 	 Pr
report_100_0.0001_0.001_2.txt:0.1449 	 Pr
report_100_0.0001_0.001_5.txt:0.1483 	 Pr
report_100_0.0001_0.01_0.01.txt:0.1536 	 Pr
report_100_0.0001_0.01_0.1.txt:0.1561 	 Pr
report_100_0.0001_0.01_0.5.txt:0.1643 	 Pr
report_100_0.0001_0.01_1.txt:0.1428 	 Pr
report_100_0.0001_0.01_10.txt:0.1489 	 Pr
report_100_0.0001_0.01_2.txt:0.1476 	 Pr
report_100_0.0001_0.01_5.txt:0.1481 	 Pr
report_100_0.0001_0.1_0.01.txt:0.1555 	 Pr
report_100_0.0001_0.1_0.1.txt:0.1556 	 Pr
report_100_0.0001_0.1_0.5.txt:0.1477 	 Pr
report_100_0.0001_0.1_1.txt:0.1491 	 Pr
report_100_0.0001_0.1_10.txt:0.1527 	 Pr
report_100_0.0001_0.1_2.txt:0.1475 	 Pr
report_100_0.0001_0.1_5.txt:0.1438 	 Pr
report_100_0.0001_0.13_0.01.txt:0.1555 	 Pr
report_100_0.0001_0.13_0.1.txt:0.1569 	 Pr
report_100_0.0001_0.13_0.5.txt:0.1481 	 Pr
report_100_0.0001_0.13_1.txt:0.1497 	 Pr
report_100_0.0001_0.13_10.txt:0.1539 	 Pr
report_100_0.0001_0.13_2.txt:0.1458 	 Pr
report_100_0.0001_0.13_5.txt:0.1423 	 Pr
report_100_0.0001_0.25_0.01.txt:0.1556 	 Pr
report_100_0.0001_0.25_0.1.txt:0.1498 	 Pr
report_100_0.0001_0.25_0.5.txt:0.1424 	 Pr
report_100_0.0001_0.25_1.txt:0.1485 	 Pr
report_100_0.0001_0.25_10.txt:0.1511 	 Pr
report_100_0.0001_0.25_2.txt:0.1441 	 Pr
report_100_0.0001_0.25_5.txt:0.1592 	 Pr
report_100_0.0001_0.5_0.01.txt:0.1562 	 Pr
report_100_0.0001_0.5_0.1.txt:0.1499 	 Pr
report_100_0.0001_0.5_0.5.txt:0.1445 	 Pr
report_100_0.0001_0.5_1.txt:0.1428 	 Pr
report_100_0.0001_0.5_10.txt:0.0156 	 Pr
report_100_0.0001_0.5_2.txt:0.1410 	 Pr
report_100_0.0001_0.5_5.txt:0.1527 	 Pr
report_100_0.0001_1_0.01.txt:0.1568 	 Pr
report_100_0.0001_1_0.1.txt:0.1417 	 Pr
report_100_0.0001_1_0.5.txt:0.1480 	 Pr
report_100_0.0001_1_1.txt:0.1420 	 Pr
report_100_0.0001_1_10.txt:0.0139 	 Pr
report_100_0.0001_1_2.txt:0.1498 	 Pr
report_100_0.0001_1_5.txt:0.0154 	 Pr
report_100_0.001_0.001_0.01.txt:0.1556 	 Pr
report_100_0.001_0.001_0.1.txt:0.1535 	 Pr
report_100_0.001_0.001_0.5.txt:0.1579 	 Pr
report_100_0.001_0.001_1.txt:0.1465 	 Pr
report_100_0.001_0.001_10.txt:0.1463 	 Pr
report_100_0.001_0.001_2.txt:0.1491 	 Pr
report_100_0.001_0.001_5.txt:0.1489 	 Pr
report_100_0.001_0.01_0.01.txt:0.1535 	 Pr
report_100_0.001_0.01_0.1.txt:0.1555 	 Pr
report_100_0.001_0.01_0.5.txt:0.1475 	 Pr
report_100_0.001_0.01_1.txt:0.1460 	 Pr
report_100_0.001_0.01_10.txt:0.1414 	 Pr
report_100_0.001_0.01_2.txt:0.1465 	 Pr
report_100_0.001_0.01_5.txt:0.1554 	 Pr
report_100_0.001_0.1_0.01.txt:0.1547 	 Pr
report_100_0.001_0.1_0.1.txt:0.1382 	 Pr
report_100_0.001_0.1_0.5.txt:0.1410 	 Pr
report_100_0.001_0.1_1.txt:0.1498 	 Pr
report_100_0.001_0.1_10.txt:0.1447 	 Pr
