report_100_0.0001_0.001_0.01.txt:0.2291 	 Re
report_100_0.0001_0.001_0.1.txt:0.2318 	 Re
report_100_0.0001_0.001_0.5.txt:0.2272 	 Re
report_100_0.0001_0.001_1.txt:0.2272 	 Re
report_100_0.0001_0.001_10.txt:0.2524 	 Re
report_100_0.0001_0.001_2.txt:0.2478 	 Re
report_100_0.0001_0.001_5.txt:0.2528 	 Re
report_100_0.0001_0.01_0.01.txt:0.2329 	 Re
report_100_0.0001_0.01_0.1.txt:0.2272 	 Re
report_100_0.0001_0.01_0.5.txt:0.2124 	 Re
report_100_0.0001_0.01_1.txt:0.2634 	 Re
report_100_0.0001_0.01_10.txt:0.2676 	 Re
report_100_0.0001_0.01_2.txt:0.2531 	 Re
report_100_0.0001_0.01_5.txt:0.2512 	 Re
report_100_0.0001_0.1_0.01.txt:0.2265 	 Re
report_100_0.0001_0.1_0.1.txt:0.2284 	 Re
report_100_0.0001_0.1_0.5.txt:0.2516 	 Re
report_100_0.0001_0.1_1.txt:0.2539 	 Re
report_100_0.0001_0.1_10.txt:0.2474 	 Re
report_100_0.0001_0.1_2.txt:0.2573 	 Re
report_100_0.0001_0.1_5.txt:0.2753 	 Re
report_100_0.0001_0.13_0.01.txt:0.2303 	 Re
report_100_0.0001_0.13_0.1.txt:0.2287 	 Re
report_100_0.0001_0.13_0.5.txt:0.2512 	 Re
report_100_0.0001_0.13_1.txt:0.2539 	 Re
report_100_0.0001_0.13_10.txt:0.2360 	 Re
report_100_0.0001_0.13_2.txt:0.2684 	 Re
report_100_0.0001_0.13_5.txt:0.2772 	 Re
report_100_0.0001_0.25_0.01.txt:0.2307 	 Re
report_100_0.0001_0.25_0.1.txt:0.2440 	 Re
report_100_0.0001_0.25_0.5.txt:0.2718 	 Re
report_100_0.0001_0.25_1.txt:0.2570 	 Re
report_100_0.0001_0.25_10.txt:0.2337 	 Re
report_100_0.0001_0.25_2.txt:0.2795 	 Re
report_100_0.0001_0.25_5.txt:0.2360 	 Re
report_100_0.0001_0.5_0.01.txt:0.2295 	 Re
report_100_0.0001_0.5_0.1.txt:0.2398 	 Re
report_100_0.0001_0.5_0.5.txt:0.2756 	 Re
report_100_0.0001_0.5_1.txt:0.2741 	 Re
report_100_0.0001_0.5_10.txt:0.4834 	 Re
report_100_0.0001_0.5_2.txt:0.2726 	 Re
report_100_0.0001_0.5_5.txt:0.2585 	 Re
report_100_0.0001_1_0.01.txt:0.2291 	 Re
